DEPARTAMENTO;EXENTO DE IVA;PARTIDO MAS VOTADO SENADO;VOTANTES SENADO 2022;CANTIDAD DE EMPRESAS;VISITANTES EXTRANJEROS 2021;LLEGADA PASAJEROS VUELOS NACIONALES
AMAZONAS;SI;LIBERAL;22863;834;1064;56264
ANTIOQUIA;NO;CENTRO DEMOCRATICO;2179147;122346;183433;3110017
ARAUCA;NO;CENTRO DEMOCRATICO;83105;2940;424;74535
ATLANTICO;NO;CAMBIO RADICAL;1041804;57542;28428;781367
BOGOTA;NO;PACTO HISTORICO;2676288;315664;381993;6445466
BOLIVAR;NO;CONSERVADOR;798085;34584;161284;1648049
BOYACA;NO;VERDE;481553;13743;2679;0
CALDAS;NO;VERDE;380843;8834;5060;50659
CAQUETA;NO;CONSERVADOR;114144;2815;389;42827
CASANARE;NO;CENTRO DEMOCRATICO;149304;9087;462;69838
CAUCA;NO;PACTO HISTORICO;372132;9759;1972;51459
CESAR;NO;PARTIDO DE LA U;407654;14504;1844;124515
CHOCO;NO;LIBERAL;143351;4352;483;128190
CORDOBA;NO;PARTIDO DE LA U;784048;10799;1894;460576
CUNDINAMARCA;NO;PACTO HISTORICO;970569;41018;12343;0
GUANIA;SI;LIBERAL;13195;2;33;19427
GUAVIARE;SI;CONSERVADOR;30285;577;67;7129
HUILA;NO;CAMBIO RADICAL;383814;13996;2129;69858
LA GUAJIRA;NO;PARTIDO DE LA U;294730;4169;1558;79229
MAGDALENA;NO;CAMBIO RADICAL;535908;11070;10966;1092784
META;NO;LIBERAL;366832;16852;4093;30892
NARIÑO;NO;CONSERVADOR;524627;12102;1918;181136
NORTE DE SANTANDER;NO;CAMBIO RADICAL;598310;16593;11062;403319
PUTUMAYO;NO;PACTO HISTORICO;84619;3744;354;53455
QUINDIO;NO;LIBERAL;214159;5323;8326;113348
RISARALDA;NO;LIBERAL;370000;14358;16557;599142
SAN ANDRES;SI;CAMBIO RADICAL;22271;1743;16176;1058968
SANTANDER;NO;VERDE;849439;36848;11574;524314
SUCRE;NO;LIBERAL;457976;7458;949;24689
TOLIMA;NO;CONSERVADOR;494591;14207;4571;20531
VALLE;NO;PACTO HISTORICO;1524491;80778;89149;1856210
VAUPES;SI;PARTIDO DE LA U;11398;81;21;10854
VICHADA;SI;CONSERVADOR;20661;218;105;15463
